"","virus","pVal","phase","peak.shape","period","p.adj"
"875","T96_S__k141_516219||full",0.00111496396028117,16,8,24,0.0318298907622438
"876","T32_S__k141_773844||full",0.00198043451364939,8,16,24,0.0395276058629358
"877","T32_S__k141_294384||full",0.000172022990643426,12,12,24,0.0191808874413408
"879","T16_S__k141_858031||full",0.000884786567861636,8,16,24,0.029098199262576
"882","T36_S__k141_887378||full",0.000752095993182849,16,8,24,0.0283003144971709
"885","T56_S__k141_959001||full",0.000159999116678161,16,8,24,0.0191808874413408
"887","T48_S__k141_945899||full",0.001897916408914,8,16,24,0.0394135059394885
"888","T112_S__k141_356672||full",0.000235259022806943,16,8,24,0.0204688014294229
"889","T12_S__k141_972726||full",0.00288528746104664,16,8,24,0.0482515468754398
"890","T16_D__k141_101037||full",0.00071939616739229,8,16,24,0.0275078337386082
"892","T32_S__k141_175304||full",0.00198043451364939,8,16,24,0.0395276058629358
"894","T88_S_k141_450345||full",0.000316199274440549,12,12,24,0.0219379361484287
"895","T56_S__k141_346327||full",0.00292781457811997,16,8,24,0.048657585583114
"896","T92_S__k141_806630||full",0.00189482278258499,12,12,24,0.0394135059394885
"897","T16_D__k141_30725||full",0.00101801057243063,16,8,24,0.0314014114660322
"900","T100_S__k141_472429||full",0.00143879233478458,12,12,24,0.0349083316051522
"901","T108_S__k141_642417||full",0.00116386836124688,8,16,24,0.0318980288616093
"902","T80_S__k141_415029||full",0.000668765311338932,8,16,24,0.0266340185012515
"903","T32_S__k141_877280||full",0.00111537384619492,8,16,24,0.0318298907622438
"905","T80_S__k141_617382||full",0.000423960230433701,12,12,24,0.0237498117020436
"907","T12_S__k141_264042||full",0.000144306548182424,8,16,24,0.0188324873252697
"910","T40_S__k141_636033||full",0.00152239192925749,8,16,24,0.0349083316051522
"911","T28_S__k141_1052067||full",0.00308299063921204,12,12,24,0.0494560923511894
"913","T80_S__k141_383576||full",0.0012404521851564,16,8,24,0.0328984766827789
"914","T96_S__k141_645387||full",0.00316070467140768,8,16,24,0.0494560923511894
"915","T36_S__k141_600912||full",0.000457735771224779,16,8,24,0.0242683243402119
"916","T64_S__k141_304088||full",0.000948958204457,12,12,24,0.0299388585833509
"917","T24_S__k141_595135||full",0.000826968123437602,16,8,24,0.0287567945992524
"918","T88_S_k141_632080||full",0.000847920460867402,8,16,24,0.0287567945992524
"919","T64_S__k141_396057||full",0.000688928189200835,12,12,24,0.0269904407936177
"920","T4_S__k141_560947||full",0.000613034868727355,8,16,24,0.0263252837660094
"921","T32_S__k141_445570||full",0.00289640800295085,8,16,24,0.0482515468754398
"924","T72_S__k141_939430||full",0.00137785637840167,16,8,24,0.0349083316051522
"925","T4_D_k141_168571||full",0.000167861750248787,12,12,24,0.0191808874413408
"926","T112_S__k141_354058||full",0.00198043451364939,8,16,24,0.0395276058629358
"928","T96_S__k141_277448||full",0.00259367275078157,12,12,24,0.0450525050125
"929","T44_S__k141_99090||full",0.000970639021041989,16,8,24,0.0304641001367605
"931","T84_S__k141_988544||full",0.000907699152089304,16,8,24,0.029285845794391
"932","T108_S__k141_900269||full",0.000450060739282848,12,12,24,0.0242683243402119
"933","T108_S__k141_30482||full",0.0013955259351527,8,16,24,0.0349083316051522
"934","T12_S__k141_352844||full",2.10857017023191e-05,8,16,24,0.0139876047649868
"936","T88_S_k141_599390||full",0.00108603268945857,12,12,24,0.0317983017443167
"937","T108_S__k141_965098||full",0.000501329654198568,16,8,24,0.0243358535905498
"938","T76_S__k141_755842||full",0.00247210453533947,16,8,24,0.0441872882844828
"940","T32_S__k141_1027999||full",9.4181790310252e-05,12,12,24,0.0166474967353101
"942","T84_S__k141_187107||full",0.00301643689109421,16,8,24,0.0490444918765397
"943","T32_S__k141_528741||full",0.000523126595685462,16,8,24,0.0247643937202889
"946","T84_S__k141_373924||full",0.000123680501451276,16,8,24,0.0178720782259343
"947","T32_S__k141_960444||full",0.00314758632114179,16,8,24,0.0494560923511894
"951","T32_S__k141_1330393||full",2.83029270492493e-06,12,12,24,0.0062573341682526
"952","T68_S__k141_992099||full",0.00226609582406118,16,8,24,0.0427845959328011
"953","T52_S_k141_481758||full",0.000557686923097461,12,12,24,0.0254549126406822
"954","T16_S__k141_1169712||full",0.00236910017970032,16,8,24,0.0437069651438199
"955","T0_S__k141_8825||full",0.0027811176022569,16,8,24,0.0472562823493428
"959","T0_S__k141_216644||full",0.000121030819049067,12,12,24,0.0178720782259343
"961","T88_S_k141_886687||full",0.000159999116678161,16,8,24,0.0191808874413408
"964","T32_S__k141_676783||full",0.000317553754853567,8,16,24,0.0219379361484287
"965","T112_S__k141_993163||full",0.00088885961319605,12,12,24,0.0291835209138022
"966","T28_S__k141_454614||full",0.00108603268945857,12,12,24,0.0317983017443167
"967","T108_S__k141_965581||full",0.00257510889097861,16,8,24,0.0450240953098767
"968","T56_S__k141_721868||full",0.000316199274440549,12,12,24,0.0219379361484287
"969","T96_S__k141_425828||full",0.000317553754853567,16,8,24,0.0219379361484287
"970","T48_S__k141_6637||full",0.0013955259351527,8,16,24,0.0349083316051522
"971","T44_S__k141_593957||full",0.00150311604916546,16,8,24,0.0349083316051522
"973","T88_S_k141_501245||full",7.92395804263935e-05,8,16,24,0.0163397069061258
"975","T92_S__k141_1185905||full",0.00292781457811997,16,8,24,0.048657585583114
"977","T44_S__k141_352094||full",4.30893200856761e-06,8,16,24,0.00745260568967543
"978","T12_S__k141_1322373||full",0.00116344065420643,16,8,24,0.0318980288616093
"979","T112_S__k141_779161||full",0.0022982319147323,8,16,24,0.0432246349187704
"980","T60_S__k141_345682||full",0.00247210453533947,16,8,24,0.0441872882844828
"982","T68_S__k141_337942||full",0.000317553754853567,8,16,24,0.0219379361484287
"983","T56_S__k141_958850||full",0.0026918475986769,8,16,24,0.0460957834875117
"984","T108_S__k141_1021068||full",0.00316070467140768,8,16,24,0.0494560923511894
"986","T112_S__k141_280338||full",0.000346313491053934,12,12,24,0.0222849259507213
"987","T80_S__k141_634198||full",0.000410654970440841,12,12,24,0.0232598817643381
"989","T36_S__k141_881778||full",0.000858642210921759,16,8,24,0.0287567945992524
"991","T80_S__k141_997257||full",0.000990475545442152,8,16,24,0.0307282189075417
"993","T52_D__k141_471964||full",0.000613034868727355,8,16,24,0.0263252837660094
"994","T72_S__k141_81691||full",0.00301643689109421,16,8,24,0.0490444918765397
"995","T80_S__k141_841747||full",0.0019809510908843,12,12,24,0.0395276058629358
"997","T36_S__k141_735970||full",0.0013955259351527,8,16,24,0.0349083316051522
"998","T68_S__k141_229748||full",0.000167861750248787,12,12,24,0.0191808874413408
"1001","T24_S__k141_97894||full",0.00143879233478458,12,12,24,0.0349083316051522
"1002","T16_D__k141_696319||full",0.000331256382747241,12,12,24,0.0220661404452316
"1003","T80_S__k141_937464||full",0.000344045981286852,8,16,24,0.0222849259507213
"1005","T104_S__k141_587589||full",0.00245569380076853,8,16,24,0.0441872882844828
