"X","Virus","taxonomy_g"
194,"T112_S__k141_497743||full","MB11C04"
195,"T112_S__k141_531200||full","CAIJKW01"
196,"T112_S__k141_598714||full","OM182"
197,"T112_S__k141_607979||full","TMED-70"
198,"T112_S__k141_644761||full","UBA7377"
199,"T112_S__k141_667101||full_1","TMED48"
200,"T112_S__k141_705792||full","TMED48"
201,"T112_S__k141_709226||full","Vibrio"
202,"T112_S__k141_715972||full","ARS21"
203,"T112_S__k141_753579||full","Fulvivirga"
204,"T112_S__k141_76063||full","Wolbachia"
205,"T112_S__k141_787261||full","GCA-2701545"
206,"T112_S__k141_841070||full","ARS21"
207,"T112_S__k141_847326||full","TMED165"
208,"T112_S__k141_859689||full","GCA-2691145"
209,"T112_S__k141_860956||full","TMED112"
210,"T112_S__k141_917687||full","CAIJKW01"
211,"T12_S__k141_1014303||full","SW10"
212,"T12_S__k141_10846||full","TMED108"
213,"T12_S__k141_109685||full","MB11C04"
214,"T12_S__k141_114173||full","ARS21"
215,"T12_S__k141_1249783||full","TMED112"
216,"T12_S__k141_1273590||full","UBA12202"
217,"T12_S__k141_138504||full","CACNXK01"
218,"T12_S__k141_175686||full","Croceibacter"
219,"T12_S__k141_2702||full","ARS21"
220,"T12_S__k141_280880||full","ARS21"
221,"T12_S__k141_298428||full","TMED78"
222,"T12_S__k141_332025||full","Lacinutrix"
223,"T12_S__k141_348876||full","MGIIa-K1"
224,"T12_S__k141_352943||full","Pelagibacter_A"
225,"T12_S__k141_358996||full","Prochlorococcus_A"
226,"T12_S__k141_362359||full","Pelagibacter_A"
227,"T12_S__k141_371225||full","MGIIa-L2"
228,"T12_S__k141_390104||full","Hyphobacterium"
229,"T12_S__k141_411534||full","Bact-19"
230,"T12_S__k141_440865||full","SAR86A"
231,"T12_S__k141_442673||full","UBA1994"
232,"T12_S__k141_456831||full","SAR86A"
233,"T12_S__k141_465842||full","GCA-2697345"
234,"T12_S__k141_469238||full","MEDG-81"
235,"T12_S__k141_469238||full","GCA-2707915"
236,"T12_S__k141_542632||full","TMED112"
237,"T12_S__k141_6830||full","SAR86A"
238,"T12_S__k141_721266||full","GCA-2691145"
239,"T12_S__k141_7726||full","Pelagibacter"
240,"T12_S__k141_781502||full","GCA-2710765"
241,"T12_S__k141_811683||full","Hyphobacterium"
242,"T12_S__k141_824130||full","GCA-2698665"
243,"T12_S__k141_913116||full","CACLCV01"
244,"T16_D__k141_1017281||full","Prochlorococcus"
245,"T16_D__k141_104445||full","Prochlorococcus_B"
246,"T16_D__k141_1045918||full","ARS23"
247,"T16_D__k141_1047892||full","Prochlorococcus_B"
248,"T16_D__k141_1051188||full","Actinomarina"
249,"T16_D__k141_1072384||full","ARS21"
250,"T16_D__k141_1117326||full","BRH-c54"
251,"T16_D__k141_1120194||full","Hyphobacterium"
252,"T16_D__k141_1121563||full","UBA10364"
253,"T16_D__k141_112439||full","Sphingobacterium"
254,"T16_D__k141_112439||full","Sphingobacterium"
255,"T16_D__k141_1132022||full","ARS21"
256,"T16_D__k141_1135774||full","AG-363-N16"
257,"T16_D__k141_1137443||full","Hyphobacterium"
258,"T16_D__k141_115419||full","Prochlorococcus_B"
259,"T16_D__k141_115512||full","Clostridioides"
260,"T16_D__k141_1164194||full","ARS10"
261,"T16_D__k141_1166192||full","MGIIa-I"
262,"T16_D__k141_1190175||full","UBA9973"
263,"T16_D__k141_1211306||full","Croceibacter"
264,"T16_D__k141_1217342||full_1","GCA-2697505"
265,"T16_D__k141_122849||full","Mf105b01"
266,"T16_D__k141_1233067||full","Vibrio"
267,"T16_D__k141_123393||full","UBA213"
268,"T16_D__k141_123864||full","GCA-2688965"
269,"T16_D__k141_1253820||full","Vibrio"
270,"T16_D__k141_1274756||full","TMED-70"
271,"T16_D__k141_1288902||full","Winogradskyella"
272,"T16_D__k141_1294698||full","Francisella"
273,"T16_D__k141_1294698||full","Francisella"
274,"T16_D__k141_1295271||full","UBA11654"
275,"T16_D__k141_1295880||full","ARS23"
276,"T16_D__k141_1302528||full","Actinomarina"
277,"T16_D__k141_1302540||full_1","Croceibacter"
278,"T16_D__k141_1325435||full","Winogradskyella"
279,"T16_D__k141_132829||full","UBA721"
280,"T16_D__k141_133186||full","UBA8592"
281,"T16_D__k141_1339270||full","UBA2588"
282,"T16_D__k141_1347307||full","Odoribacter"
283,"T16_D__k141_138774||full","Lysinibacillus"
284,"T16_D__k141_142738||full","Sediminibacterium"
285,"T16_D__k141_151336||full","GCA-2689925"
286,"T16_D__k141_16554||full","GCA-002715885"
287,"T16_D__k141_18043||full","CAU-1491"
288,"T16_D__k141_18816||full","GCA-2691145"
289,"T16_D__k141_189825||full","OM182"
290,"T16_D__k141_194311||full","Winogradskyella"
291,"T16_D__k141_194819||full","TMED198"
292,"T16_D__k141_204764||full","GCA-002700125"
293,"T16_D__k141_205632||full","ARS21"
294,"T16_D__k141_215762||full","MS024-2A"
295,"T16_D__k141_220552||full","ARS23"
296,"T16_D__k141_240149||full","TMED-70"
297,"T16_D__k141_243600||full","GCA-002694895"
298,"T16_D__k141_243600||full","GCA-002694895"
299,"T16_D__k141_247298||full","Acinetobacter"
300,"T16_D__k141_247298||full","Acinetobacter"
301,"T16_D__k141_266885||full","Marinirhabdus"
302,"T16_D__k141_268812||full","ARS10"
303,"T16_D__k141_276146||full","Halomonas"
304,"T16_D__k141_277705||full","Hyphobacterium"
305,"T16_D__k141_279685||full","SAR86A"
306,"T16_D__k141_295738||full","Actinomarina"
307,"T16_D__k141_302952||full","Joostella"
308,"T16_D__k141_315704||full","Winogradskyella"
309,"T16_D__k141_31757||full","UBA721"
310,"T16_D__k141_334675||full","Prochlorococcus_B"
311,"T16_D__k141_336709||full","CAIJKW01"
312,"T16_D__k141_362939||full","Methanobrevibacter_A"
313,"T16_D__k141_362939||full","Methanobrevibacter_A"
314,"T16_D__k141_36304||full","GCA-2688965"
315,"T16_D__k141_368339||full","ARS10"
316,"T16_D__k141_375971||full","UBA1994"
317,"T16_D__k141_379185||full","Halomonas_C"
318,"T16_D__k141_380292||full","Joostella"
319,"T16_D__k141_382527||full","RZ26"
320,"T16_D__k141_385499||full","TMED-70"
321,"T16_D__k141_389132||full","GCA-2697345"
322,"T16_D__k141_405557||full","GCA-2704625"
323,"T16_D__k141_407529||full","Winogradskyella"
324,"T16_D__k141_458895||full","GCA-2691245"
325,"T16_D__k141_464023||full","ARS21"
326,"T16_D__k141_467270||full","TMED-70"
327,"T16_D__k141_477833||full","GCA-2689925"
328,"T16_D__k141_481535||full","Flavobacterium"
329,"T16_D__k141_484||full_1","Sulfitobacter"
330,"T16_D__k141_496456||full","Paenibacillus_Z"
331,"T16_D__k141_501428||full_1","GCA-2691145"
332,"T16_D__k141_528200||full_1","GCA-2691145"
333,"T16_D__k141_549648||full","Joostella"
334,"T16_D__k141_550345||full","Sediminibacterium"
335,"T16_D__k141_5507||full","GCA-2707915"
336,"T16_D__k141_55226||full","Hyphobacterium"
337,"T16_D__k141_559843||full","Hyphobacterium"
338,"T16_D__k141_587625||full","GCA-2689925"
339,"T16_D__k141_59153||full","GCA-002708315"
340,"T16_D__k141_593932||full","Methylotenera"
341,"T16_D__k141_625646||full","F082"
342,"T16_D__k141_627485||full","ARS21"
343,"T16_D__k141_649554||full","SCGC-AAA160-P02"
344,"T16_D__k141_65107||full","GCA-2697505"
345,"T16_D__k141_655576||full","ARS1403"
346,"T16_D__k141_662305||full","ARS10"
347,"T16_D__k141_672465||full","ARS10"
348,"T16_D__k141_67563||full","GCA-002720895"
349,"T16_D__k141_684937||full","Hyphobacterium"
350,"T16_D__k141_690656||full","Flaviramulus_A"
351,"T16_D__k141_694499||full","ARS1285"
352,"T16_D__k141_694905||full","Winogradskyella"
353,"T16_D__k141_694905||full","Winogradskyella"
354,"T16_D__k141_713689||full","Edaphobacter"
355,"T16_D__k141_725991||full","ARS10"
356,"T16_D__k141_732011||full","GCA-2697345"
357,"T16_D__k141_73424||full","Mf105b01"
358,"T16_D__k141_752916||full","MGIIa-K1"
359,"T16_D__k141_768959||full","UBA1573"
360,"T16_D__k141_832893||full","GCA-002700125"
361,"T16_D__k141_840899||full","ARS23"
362,"T16_D__k141_845552||full","Alteromonas"
363,"T16_D__k141_845991||full","TMED198"
364,"T16_D__k141_847496||full","Synechococcus_E"
365,"T16_D__k141_847496||full","Synechococcus_E"
366,"T16_D__k141_847496||full","Synechococcus_E"
367,"T16_D__k141_901020||full","GCA-2707915"
368,"T16_D__k141_905819||full","Pelagibacter"
