"","T0_S","T4_S","T8_S","T12_S","T16_S","T20_S","T24_S","T28_S","T32_S","T36_S","T40_S","T44_S","T48_S","T52_S","T56_S","T60_S","T64_S","T68_S","T72_S","T76_S","T80_S","T84_S","T88_S","T92_S","T96_S","T100_S","T104_S","T108_S","T112_S"
"Haemophilus_D",112.275193776304,128.695347566752,164.947465037031,143.079653224889,127.958514189791,122.797730390648,153.996967907834,155.892633019263,168.412574666175,131.115801795579,133.713190522257,104.715039652193,120.600095451968,34.4930132241038,142.514060048542,199.936609620081,115.056361860594,126.437203937461,128.560005335414,227.396278005157,142.699383809513,164.04101731512,76.1094604631639,127.241071895119,170.438966255417,201.427372597606,211.506871001111,167.917943222691,153.557216462607
"Hydrogenovibrio",142.928745349083,171.626983857486,152.474528408693,142.504628575212,138.789311257815,101.336582263587,162.253150941818,139.829444755668,159.530773102713,138.181962458236,94.9457233220309,130.286436543433,106.911992095063,34.6132396761008,137.085410291971,102.854023478091,131.130284922546,113.194103768891,109.0058022624,177.386141371825,120.282426049618,134.626435605073,54.0637508035788,92.034169664846,103.411624402286,157.70996203124,156.383102624105,179.001038989451,150.406679485766
"Hyphobacterium",21657.1911163439,24259.4257410235,26560.4450052225,25732.836150647,26606.3669130749,17265.6310520615,21980.3732179169,20664.8966967195,29439.0408586884,24074.5493057853,21017.096840377,20516.2370032447,20171.2646566426,7199.85804310832,22143.7965419709,23929.373952478,21252.3054677288,18659.3136219492,22725.6379261733,27146.4442249578,20565.7238559579,25343.92364102,8445.50888722222,16181.4619979129,23274.8658887863,32239.4553396007,25831.3539208688,25016.1617320452,21419.1677711231
"Ichthyenterobacterium",109.772340219325,163.040786605331,143.601748330949,130.442320061965,116.835779838288,89.4705842280856,118.634713122081,127.65165744651,124.08537948663,108.689729602181,111.56388073612,103.765051330443,83.7806512130045,37.4728336137616,108.381744633428,96.49968718221,90.7682207692549,94.7181955001159,109.832752212635,103.747404123741,90.484499284546,122.21212631247,43.9628176656911,75.5474462094654,113.517497367548,128.02290324636,115.297866228875,126.032838150522,103.98819169962
"JABDBA01",1079.21495864829,1148.37310307189,1341.53092274983,1336.74589365134,1512.86135994084,804.526453685612,1194.22294709582,1006.1407563364,1484.26855297365,1223.45729639161,1035.40105315405,1058.67770643611,1004.08638632961,320.44484310833,1093.75748398065,1226.71690987857,1049.40313273067,877.109907648279,1125.75446696446,1640.23003207346,1212.88077150727,1460.39594708074,481.596629691522,927.162861940244,1289.58961844077,1936.75325934878,1602.69058883027,1427.7883319526,1254.93886895612
"Jejuia",926.689474755067,1231.27524080893,1282.57159280598,1317.91921849446,1538.91589356302,938.709670744701,1048.17164462672,963.264661761696,1311.13680830716,1384.96881058022,1258.42321343004,1027.68676825588,1037.51671986156,345.140092203592,1057.8051930347,1400.88290730564,1245.9471325215,983.314307178253,1126.23007091262,1367.92157450168,942.749203859545,1167.36488740644,421.767293950624,777.213628113822,1156.14824117843,1435.60050139562,1269.9924590039,1239.3073996131,985.706149686175
"Joostella",3392.00637894835,4009.35824559902,4456.20429661916,4393.04547568181,4463.42606078538,3018.19725638044,3301.97221152327,3412.5608834461,4821.62550721938,4125.07678436961,3591.36400772573,3428.3286204749,3417.92497065091,1243.99802124539,3647.24630395171,3961.46871462202,3635.43451256339,3127.93440458661,4046.95056329844,4244.09003248507,3000.05762069279,4163.70945352164,1285.90260038554,2498.84466604073,3605.383426617,4720.58995695911,3705.98435467002,3979.20227328186,3359.77395398517
"Kiloniella",226.20167733497,260.230598419911,251.017772004743,258.338227275964,284.116898802584,203.558605674475,215.038205587395,234.815724088641,298.239546856951,228.367007869388,244.184760680451,212.702423601897,223.332966512651,70.4552598082026,233.179066159662,307.159988215479,206.129337000047,206.078913934864,227.656672200232,272.440299246414,229.475716033346,271.246104916479,120.624094406283,199.092927704061,261.706269708172,377.559982762302,304.566380439586,269.631336264941,251.348673146765
"Lacinutrix",1445.5043027132,1691.69001309102,1853.77059735957,1787.0036820714,1834.46748440973,1187.05157553786,1517.92425327301,1318.1759539327,1954.0971450243,1675.93933102607,1397.52789476765,1518.85513467463,1404.46950862513,498.999959852651,1579.00949932327,1597.62478405835,1429.64451178251,1364.95796617305,1475.05124122308,2061.95244240059,1501.2425156157,1875.12628797391,581.683863418452,1163.82618412341,1569.42130199273,2249.24593128712,1932.11897956579,1803.81942916905,1517.95900026055
"Lactococcus",196.097887796489,280.437905199087,278.669450642974,262.319199673128,280.945661168546,191.620751955977,227.380716825154,191.807401917614,273.314970064316,258.214398838489,233.994427214361,234.569646555536,232.380862900171,77.968779098455,284.417733256312,294.957995872648,269.234887715303,201.6543223711,230.439254973329,280.581988078128,216.557769033019,235.572380796853,81.6680158426154,146.27227088611,243.633312995605,239.007813355784,253.326368069771,301.589778986044,216.922799970145
"Leclercia",167.690989933514,173.606781081512,195.518156412721,176.162173839682,219.934908111343,136.991383742511,161.196308216438,163.36203744347,213.444489335988,181.966167200119,176.22873399164,167.451885686834,162.943652865584,51.0038251682448,184.096243174777,210.582046745615,159.153808326848,141.597963287542,133.904756989436,232.81457028663,178.062179274446,194.269539371119,77.7378477582099,133.102472526336,174.216430916827,245.064380331657,221.433187504316,209.055452519279,148.727166797872
"Legionella",0,30.3138891843669,54.1331111261958,48.6624732786505,43.6147757224108,27.4161046556753,0,34.7365470343427,59.8663445606481,70.0726076573718,66.9801417649609,36.9687315060574,36.3267413868804,16.3700588056267,27.4135913125477,33.9644404878241,61.3737514074207,40.5912361306695,28.3661387499404,0,35.3926798966559,50.145800444912,14.4051914334652,37.5845217834824,38.9281931183512,0,34.4026373390713,53.6649723933177,60.4725598619
"Luminiphilus",3644.23199997524,3616.22533771773,3905.29845379657,4076.91714142361,5147.52371800998,2606.1323269139,3375.8584694012,2996.46986302481,4756.10396652864,4019.84480900154,3470.61121773178,3422.1003526787,3449.52352704746,1260.93327630059,3746.56285726084,5418.43185626494,3629.1525120397,3246.01397875976,3402.30469207915,5563.9315117421,4210.27441529743,4251.86426180601,1880.14974154877,3019.31509328538,4639.06408965063,5953.66758801232,5287.02301246952,4331.21097074528,3720.4065410093
"MAG-121220-bin8",232.54746908435,267.447095225664,249.157495707137,236.029716719016,282.080915023624,161.850975770078,210.342524013744,200.760541521902,297.756146489368,231.168310607396,233.95526493507,190.782386632824,218.962452317486,77.2955371469784,221.52572437476,236.376928470314,210.771172811122,188.315271377258,246.04799404408,316.839960522191,187.410537281679,241.643444074875,83.0400880099621,151.345608135947,251.690091394021,289.928825969037,243.035882401972,206.017649689048,182.597357758498
"MB11C04",3739.14917633035,4457.02767862503,4833.58227378149,4505.1425496645,4551.19148652043,3204.10082234966,4032.85808114962,3774.2414574817,5224.35215547158,4426.78771538133,4030.24216750583,3819.79027988994,3932.81063842065,1424.32132922439,4182.91856899373,4560.94405204563,3989.85014593331,3517.47692783861,4059.43048082282,4855.00144016015,3825.51372786763,4600.21870762167,1583.90119455977,3061.11347394494,4159.85753912992,5690.81516126444,4327.65069734962,4275.20207104612,3888.38067341595
