"","virus","pVal","phase","peak.shape","period","p.adj"
"1071","T0_S__k141_887188||full",0.000429563999659027,16,8,24,0.0237498117020436
"1072","T88_S_k141_532011||full",0.000600630851815147,16,8,24,0.0263252837660094
"1074","T72_S__k141_802612||full",0.000231178326212715,12,12,24,0.0203925391290152
"1077","T48_S__k141_481841||full",0.000752095993182849,16,8,24,0.0283003144971709
"1078","T92_S__k141_10385||full",0.00102766354640401,16,8,24,0.0316387096155458
"1081","T88_S_k141_101209||full",0.000253195309661545,12,12,24,0.0206678603286038
"1083","T36_S__k141_1132569||full",0.000166955600011994,16,8,24,0.0191808874413408
"1084","T84_S__k141_1198796||full",0.00150311604916546,16,8,24,0.0349083316051522
"1090","T24_S__k141_664901||full",0.0013955259351527,8,16,24,0.0349083316051522
"1091","T16_D__k141_103450||full",0.00072132186526166,16,12,24,0.0275273248943197
"1092","T28_S__k141_534739||full",0.00158582492630988,8,16,24,0.0357367750262145
"1097","T84_S__k141_539011||full",2.59231784830331e-05,16,12,24,0.0139876047649868
"1102","T0_S__k141_12946||full",5.83049261300273e-05,16,8,24,0.0156932407447844
"1104","T64_S__k141_597225||full",0.000858642210921759,16,8,24,0.0287567945992524
"1106","T88_S_k141_1063764||full",0.000821309940881683,16,8,24,0.0287567945992524
"1107","T84_S__k141_859190||full",0.000571734908272139,16,8,24,0.0259008214572527
"1110","T40_D__k141_789421||full",0.000273989558333271,16,8,24,0.0206678603286038
"1113","T84_S__k141_1160348||full",0.00078768878569344,16,12,24,0.0287567945992524
"1118","T8_S__k141_1102941||full",0.000533439665571484,8,20,24,0.0249973341659219
"1123","T8_S__k141_306841||full",0.00116344065420643,16,8,24,0.0318980288616093
"1128","T88_S_k141_928605||full",0.00238076070382388,16,12,24,0.0438886484068455
"1132","T8_S__k141_105155||full",0.00103666756721046,12,12,24,0.0316742819841438
"1133","T56_S__k141_721167||full",0.00071939616739229,12,16,24,0.0275078337386082
